name,shortName,logoUrl
Caen Handball,CAEN,/clubs/caen.png
C' Chartres Métropole HB,CCMHB,/clubs/ccmhb.png
Cesson-Rennes Métropole HB,CRMHB,/clubs/crmhb.png
Chambéry Savoie Mont Blanc HB,CSMBH,/clubs/csmbh.png
Fenix Toulouse Handball,FENIX,/clubs/fenix.png
HBC Nantes,HBCN,/clubs/hbcn.png
Limoges Handball,LIMOGES,/clubs/limoges.png
Montpellier Handball,MHB,/clubs/mhb.png
Pays d'Aix Université Club,PAUC,/clubs/pauc.png
Paris Saint-Germain Handball,PSG,/clubs/psg.png
Sélestat Alsace Handball,SAHB,/clubs/sahb.png
Saran Loiret Handball,SARAN,/clubs/saran.png
Saint-Raphaël Var Handball,SRVH,/clubs/srvh.png
Tremblay Handball,TREMBLAY,/clubs/tremblay.png
USAM Nîmes Gard,USAM,/clubs/usam.png
USDK Dunkerque HGL,USDK,/clubs/usdk.png
