gameweek,date,homeShortName,awayShortName
1,2026-09-04 20:00,PAUC,SAHB
1,2026-09-04 20:00,CAEN,USDK
1,2026-09-04 20:00,CRMHB,USAM
1,2026-09-04 20:00,CSMBH,PSG
1,2026-09-04 20:00,LIMOGES,SRVH
1,2026-09-04 20:00,MHB,CCMHB
1,2026-09-04 20:00,SARAN,FENIX
1,2026-09-04 20:00,TREMBLAY,HBCN
2,2026-09-11 20:00,CCMHB,TREMBLAY
2,2026-09-11 20:00,LIMOGES,SARAN
2,2026-09-11 20:00,HBCN,PAUC
2,2026-09-11 20:00,USAM,MHB
2,2026-09-11 20:00,PSG,CRMHB
2,2026-09-11 20:00,SRVH,USDK
2,2026-09-11 20:00,SAHB,CSMBH
2,2026-09-11 20:00,FENIX,CAEN
3,2026-09-18 20:00,CAEN,LIMOGES
3,2026-09-18 20:00,CRMHB,PAUC
3,2026-09-18 20:00,USDK,CSMBH
3,2026-09-18 20:00,MHB,HBCN
3,2026-09-18 20:00,PSG,CCMHB
3,2026-09-18 20:00,SARAN,USAM
3,2026-09-18 20:00,FENIX,SAHB
3,2026-09-18 20:00,TREMBLAY,SRVH
4,2026-09-25 20:00,PAUC,CAEN
4,2026-09-25 20:00,CSMBH,TREMBLAY
4,2026-09-25 20:00,CCMHB,CRMHB
4,2026-09-25 20:00,LIMOGES,PSG
4,2026-09-25 20:00,HBCN,FENIX
4,2026-09-25 20:00,USAM,USDK
4,2026-09-25 20:00,SRVH,SARAN
4,2026-09-25 20:00,SAHB,MHB
5,2026-10-02 20:00,CAEN,SRVH
5,2026-10-02 20:00,CRMHB,LIMOGES
5,2026-10-02 20:00,USDK,HBCN
5,2026-10-02 20:00,MHB,CSMBH
5,2026-10-02 20:00,USAM,PAUC
5,2026-10-02 20:00,SARAN,PSG
5,2026-10-02 20:00,FENIX,CCMHB
5,2026-10-02 20:00,TREMBLAY,SAHB
6,2026-10-09 20:00,PAUC,SARAN
6,2026-10-09 20:00,CCMHB,CSMBH
6,2026-10-09 20:00,LIMOGES,USAM
6,2026-10-09 20:00,HBCN,CAEN
6,2026-10-09 20:00,PSG,FENIX
6,2026-10-09 20:00,SRVH,CRMHB
6,2026-10-09 20:00,SAHB,USDK
6,2026-10-09 20:00,TREMBLAY,MHB
7,2026-10-16 20:00,CAEN,PSG
7,2026-10-16 20:00,CRMHB,SAHB
7,2026-10-16 20:00,CSMBH,PAUC
7,2026-10-16 20:00,USDK,CCMHB
7,2026-10-16 20:00,MHB,LIMOGES
7,2026-10-16 20:00,USAM,TREMBLAY
7,2026-10-16 20:00,SARAN,HBCN
7,2026-10-16 20:00,FENIX,SRVH
8,2026-10-23 20:00,PAUC,FENIX
8,2026-10-23 20:00,CCMHB,USAM
8,2026-10-23 20:00,LIMOGES,USDK
8,2026-10-23 20:00,MHB,SARAN
8,2026-10-23 20:00,HBCN,CSMBH
8,2026-10-23 20:00,SRVH,PSG
8,2026-10-23 20:00,SAHB,CAEN
8,2026-10-23 20:00,TREMBLAY,CRMHB
9,2026-10-30 20:00,CAEN,CCMHB
9,2026-10-30 20:00,CRMHB,HBCN
9,2026-10-30 20:00,CSMBH,SRVH
9,2026-10-30 20:00,USDK,PAUC
9,2026-10-30 20:00,USAM,SAHB
9,2026-10-30 20:00,PSG,MHB
9,2026-10-30 20:00,SARAN,TREMBLAY
9,2026-10-30 20:00,FENIX,LIMOGES
10,2026-11-13 20:00,PAUC,PSG
10,2026-11-13 20:00,CRMHB,FENIX
10,2026-11-13 20:00,CSMBH,USAM
10,2026-11-13 20:00,CCMHB,LIMOGES
10,2026-11-13 20:00,MHB,USDK
10,2026-11-13 20:00,HBCN,SRVH
10,2026-11-13 20:00,SAHB,SARAN
10,2026-11-13 20:00,TREMBLAY,CAEN
11,2026-11-20 20:00,CAEN,USAM
11,2026-11-20 20:00,USDK,CRMHB
11,2026-11-20 20:00,LIMOGES,PAUC
11,2026-11-20 20:00,HBCN,SAHB
11,2026-11-20 20:00,PSG,TREMBLAY
11,2026-11-20 20:00,SRVH,CCMHB
11,2026-11-20 20:00,SARAN,CSMBH
11,2026-11-20 20:00,FENIX,MHB
12,2026-11-27 20:00,CSMBH,LIMOGES
12,2026-11-27 20:00,CCMHB,PAUC
12,2026-11-27 20:00,USDK,PSG
12,2026-11-27 20:00,MHB,CRMHB
12,2026-11-27 20:00,USAM,HBCN
12,2026-11-27 20:00,SARAN,CAEN
12,2026-11-27 20:00,SAHB,SRVH
12,2026-11-27 20:00,TREMBLAY,FENIX
13,2026-12-04 20:00,PAUC,MHB
13,2026-12-04 20:00,CAEN,CSMBH
13,2026-12-04 20:00,CRMHB,SARAN
13,2026-12-04 20:00,CCMHB,HBCN
13,2026-12-04 20:00,LIMOGES,TREMBLAY
13,2026-12-04 20:00,PSG,SAHB
13,2026-12-04 20:00,SRVH,USAM
13,2026-12-04 20:00,FENIX,USDK
14,2026-12-11 20:00,PAUC,SRVH
14,2026-12-11 20:00,CSMBH,CRMHB
14,2026-12-11 20:00,USDK,TREMBLAY
14,2026-12-11 20:00,MHB,CAEN
14,2026-12-11 20:00,HBCN,PSG
14,2026-12-11 20:00,USAM,FENIX
14,2026-12-11 20:00,SARAN,CCMHB
14,2026-12-11 20:00,SAHB,LIMOGES
15,2026-12-22 20:00,CAEN,CRMHB
15,2026-12-22 20:00,CCMHB,SAHB
15,2026-12-22 20:00,USDK,SARAN
15,2026-12-22 20:00,HBCN,LIMOGES
15,2026-12-22 20:00,PSG,USAM
15,2026-12-22 20:00,SRVH,MHB
15,2026-12-22 20:00,FENIX,CSMBH
15,2026-12-22 20:00,TREMBLAY,PAUC
16,2027-02-05 20:00,PAUC,USDK
16,2027-02-05 20:00,CRMHB,PSG
16,2027-02-05 20:00,CSMBH,HBCN
16,2027-02-05 20:00,LIMOGES,CAEN
16,2027-02-05 20:00,MHB,TREMBLAY
16,2027-02-05 20:00,USAM,CCMHB
16,2027-02-05 20:00,SARAN,SRVH
16,2027-02-05 20:00,SAHB,FENIX
17,2027-02-12 20:00,PAUC,CRMHB
17,2027-02-12 20:00,CSMBH,SAHB
17,2027-02-12 20:00,CCMHB,MHB
17,2027-02-12 20:00,USDK,LIMOGES
17,2027-02-12 20:00,PSG,SARAN
17,2027-02-12 20:00,SRVH,CAEN
17,2027-02-12 20:00,FENIX,HBCN
17,2027-02-12 20:00,TREMBLAY,USAM
18,2027-02-19 20:00,CAEN,FENIX
18,2027-02-19 20:00,CRMHB,SRVH
18,2027-02-19 20:00,LIMOGES,CCMHB
18,2027-02-19 20:00,MHB,PSG
18,2027-02-19 20:00,HBCN,USDK
18,2027-02-19 20:00,USAM,CSMBH
18,2027-02-19 20:00,SARAN,PAUC
18,2027-02-19 20:00,SAHB,TREMBLAY
19,2027-02-26 20:00,PAUC,HBCN
19,2027-02-26 20:00,CSMBH,SARAN
19,2027-02-26 20:00,USDK,MHB
19,2027-02-26 20:00,LIMOGES,FENIX
19,2027-02-26 20:00,USAM,CRMHB
19,2027-02-26 20:00,PSG,CAEN
19,2027-02-26 20:00,SRVH,SAHB
19,2027-02-26 20:00,TREMBLAY,CCMHB
20,2027-03-05 20:00,CAEN,TREMBLAY
20,2027-03-05 20:00,CRMHB,USDK
20,2027-03-05 20:00,CCMHB,SRVH
20,2027-03-05 20:00,HBCN,MHB
20,2027-03-05 20:00,PSG,CSMBH
20,2027-03-05 20:00,SARAN,LIMOGES
20,2027-03-05 20:00,SAHB,USAM
20,2027-03-05 20:00,FENIX,PAUC
21,2027-03-19 20:00,PAUC,CCMHB
21,2027-03-19 20:00,CSMBH,CAEN
21,2027-03-19 20:00,USDK,FENIX
21,2027-03-19 20:00,LIMOGES,CRMHB
21,2027-03-19 20:00,MHB,SAHB
21,2027-03-19 20:00,USAM,SARAN
21,2027-03-19 20:00,SRVH,HBCN
21,2027-03-19 20:00,TREMBLAY,PSG
22,2027-03-26 20:00,CRMHB,CSMBH
22,2027-03-26 20:00,USDK,CAEN
22,2027-03-26 20:00,MHB,USAM
22,2027-03-26 20:00,HBCN,CCMHB
22,2027-03-26 20:00,PSG,LIMOGES
22,2027-03-26 20:00,SRVH,TREMBLAY
22,2027-03-26 20:00,SAHB,PAUC
22,2027-03-26 20:00,FENIX,SARAN
23,2027-04-02 20:00,PAUC,TREMBLAY
23,2027-04-02 20:00,CAEN,HBCN
23,2027-04-02 20:00,CSMBH,USDK
23,2027-04-02 20:00,CCMHB,PSG
23,2027-04-02 20:00,LIMOGES,SAHB
23,2027-04-02 20:00,USAM,SRVH
23,2027-04-02 20:00,SARAN,MHB
23,2027-04-02 20:00,FENIX,CRMHB
24,2027-04-09 20:00,CAEN,PAUC
24,2027-04-09 20:00,CRMHB,MHB
24,2027-04-09 20:00,CSMBH,FENIX
24,2027-04-09 20:00,HBCN,USAM
24,2027-04-09 20:00,PSG,USDK
24,2027-04-09 20:00,SRVH,LIMOGES
24,2027-04-09 20:00,SAHB,CCMHB
24,2027-04-09 20:00,TREMBLAY,SARAN
25,2027-04-13 20:00,PAUC,CSMBH
25,2027-04-13 20:00,CRMHB,CAEN
25,2027-04-13 20:00,CCMHB,SARAN
25,2027-04-13 20:00,USDK,USAM
25,2027-04-13 20:00,LIMOGES,HBCN
25,2027-04-13 20:00,MHB,SRVH
25,2027-04-13 20:00,SAHB,PSG
25,2027-04-13 20:00,FENIX,TREMBLAY
26,2027-04-16 20:00,CAEN,MHB
26,2027-04-16 20:00,CCMHB,USDK
26,2027-04-16 20:00,HBCN,CRMHB
26,2027-04-16 20:00,USAM,LIMOGES
26,2027-04-16 20:00,PSG,PAUC
26,2027-04-16 20:00,SRVH,FENIX
26,2027-04-16 20:00,SARAN,SAHB
26,2027-04-16 20:00,TREMBLAY,CSMBH
27,2027-04-23 20:00,PAUC,USAM
27,2027-04-23 20:00,CAEN,SAHB
27,2027-04-23 20:00,CRMHB,TREMBLAY
27,2027-04-23 20:00,CSMBH,CCMHB
27,2027-04-23 20:00,USDK,SRVH
27,2027-04-23 20:00,LIMOGES,MHB
27,2027-04-23 20:00,HBCN,SARAN
27,2027-04-23 20:00,FENIX,PSG
28,2027-04-30 20:00,CCMHB,FENIX
28,2027-04-30 20:00,MHB,PAUC
28,2027-04-30 20:00,USAM,CAEN
28,2027-04-30 20:00,PSG,HBCN
28,2027-04-30 20:00,SRVH,CSMBH
28,2027-04-30 20:00,SARAN,USDK
28,2027-04-30 20:00,SAHB,CRMHB
28,2027-04-30 20:00,TREMBLAY,LIMOGES
29,2027-05-14 20:00,PAUC,LIMOGES
29,2027-05-14 20:00,CAEN,SARAN
29,2027-05-14 20:00,CRMHB,CCMHB
29,2027-05-14 20:00,CSMBH,MHB
29,2027-05-14 20:00,USDK,SAHB
29,2027-05-14 20:00,HBCN,TREMBLAY
29,2027-05-14 20:00,PSG,SRVH
29,2027-05-14 20:00,FENIX,USAM
30,2027-05-19 20:00,CCMHB,CAEN
30,2027-05-19 20:00,LIMOGES,CSMBH
30,2027-05-19 20:00,MHB,FENIX
30,2027-05-19 20:00,USAM,PSG
30,2027-05-19 20:00,SRVH,PAUC
30,2027-05-19 20:00,SARAN,CRMHB
30,2027-05-19 20:00,SAHB,HBCN
30,2027-05-19 20:00,TREMBLAY,USDK
