clubShortName,firstName,lastName,position,marketValue
PSG,Vincent,Gérard,GK,9.5
PSG,Yann,Genty,GK,7.0
PSG,Benoît,Kounkoud,LW,11.0
PSG,Dainis,Kristopans,LW,9.0
PSG,Luc,Steins,LB,12.0
PSG,Elohim,Prandi,LB,10.5
PSG,Nedim,Remili,CB,14.0
PSG,Mathieu,Grebille,CB,8.0
PSG,Dika,Mem,RW,13.0
PSG,Ferran,Solé,RW,10.0
PSG,Luka,Karabatic,PV,11.5
PSG,Nicolas,Tournat,PV,8.5
PSG,Valter,Chrintz,RB,9.0
PSG,Thibaud,Briet,RB,7.5
MHB,Rémi,Desbonnet,GK,11.0
MHB,Mattias,Andersson,GK,7.5
MHB,Kyllian,Villeminot,LW,8.0
MHB,Melvyn,Richardson,LW,9.5
MHB,Romain,Lagarde,LB,8.5
MHB,Yanis,Lenne,LB,7.0
MHB,Jérémy,Sorhaindo,CB,9.0
MHB,Ludovic,Fabregas,CB,8.0
MHB,Hugo,Descat,RW,11.0
MHB,Dylan,Nahi,RW,9.5
MHB,Valentin,Porte,PV,8.0
MHB,Joao,Ferraz,PV,7.5
MHB,Ludovic,Pinot,RB,8.0
MHB,Sébastien,Parello,RB,7.0
HBCN,Cyril,Dumoulin,GK,8.5
HBCN,Alexis,Vittinghus,GK,7.0
HBCN,Valentin,Ghionea,LW,7.5
HBCN,Antoine,Bouchez,LW,7.0
HBCN,Dragan,Pechmalbec,LB,8.0
HBCN,Daouda,Karaboué,LB,7.5
HBCN,Nicolas,Claire,CB,9.0
HBCN,Julien,Bos,CB,8.0
HBCN,Lucas,Pelletier,RW,8.5
HBCN,Antoine,Vigan,RW,7.0
HBCN,Thibault,Rousseau,PV,7.5
HBCN,Olivier,Nyokas,PV,7.0
HBCN,Fabien,Engilberge,RB,8.0
HBCN,Yoann,Gibelin,RB,7.0
USAM,Nicolas,Mignon,GK,7.5
USAM,Baptiste,Bonnefond,GK,6.5
USAM,Aurélien,Caucheteux,LW,7.5
USAM,Ibrahim,Dramé,LW,6.5
USAM,Aymeric,Minne,LB,7.0
USAM,Adam,Morawski,LB,6.5
USAM,Xavier,Barachet,CB,7.5
USAM,Florian,Viudes,CB,7.0
USAM,Kevin,Bonnefond,RW,8.0
USAM,Brice,Luce,RW,6.5
USAM,Mamadou,Gassama,PV,7.0
USAM,Maxime,Gicquel,PV,6.5
USAM,Valentin,Genty,RB,7.5
USAM,Théo,Monar,RB,6.5
USDK,Léon,Maginot,GK,7.0
USDK,Arnaud,Siffert,GK,6.0
USDK,Pierre,Hanquinquant,LW,7.0
USDK,Timothé,Gombou,LW,6.0
USDK,Maxime,Michon,LB,7.0
USDK,Noé,Renard,LB,6.0
USDK,Thomas,Rousseau,CB,7.5
USDK,Florian,Bourceaux,CB,6.5
USDK,Pierre,Aguilar,RW,7.0
USDK,Jimmy,Mure,RW,6.0
USDK,Baptiste,Razafindrandriatsimaniry,PV,7.0
USDK,Teddy,Maggini,PV,6.0
USDK,Nicolas,Duport,RB,7.0
USDK,Elie,Bayle,RB,6.0
PAUC,Jonathan,Darras,GK,7.5
PAUC,Sébastien,Garrédou,GK,6.5
PAUC,Karl,Konan,LW,7.5
PAUC,Kenan,Pirolic,LW,7.0
PAUC,Romain,Paulin,LB,7.5
PAUC,Nans,Piriou,LB,7.0
PAUC,Stéphane,Stoecklin,CB,8.0
PAUC,Nathan,Thislé,CB,7.0
PAUC,Thibault,Gardent,RW,7.5
PAUC,Maxime,Sevin,RW,6.5
PAUC,Baptiste,Bonneau,PV,7.5
PAUC,Maxime,Frémont,PV,6.5
PAUC,Simon,Bourrier,RB,7.0
PAUC,Alexandre,Bleskine,RB,6.5
FENIX,Karl,Moreno,GK,7.0
FENIX,Benjamin,Buric,GK,6.0
FENIX,Remi,Desbonnet,LW,7.0
FENIX,Baptiste,Ferreira,LW,6.0
FENIX,Mathieu,Semedo,LB,7.0
FENIX,Mathis,Bernhardt,LB,6.0
FENIX,Maxime,Pambet,CB,7.5
FENIX,Thomas,Genty,CB,6.5
FENIX,Djibril,Mbacké,RW,7.0
FENIX,Jules,Faber,RW,6.0
FENIX,Théo,Gaugue,PV,7.0
FENIX,Jordan,Briet,PV,6.0
FENIX,Alexis,Richard,RB,7.0
FENIX,Axel,Rouquette,RB,6.0
CSMBH,Julien,Bonnefond,GK,7.5
CSMBH,Adrien,Llorente,GK,6.5
CSMBH,Théo,Derot,LW,7.5
CSMBH,Cédric,Sorhaindo,LW,8.0
CSMBH,Baptiste,Kintzig,LB,7.5
CSMBH,William,Accambray,LB,8.0
CSMBH,Yanis,Mahrous,CB,7.5
CSMBH,Romain,Gailliègue,CB,7.0
CSMBH,Pierre,Volle,RW,7.5
CSMBH,Dylan,Wojtyla,RW,6.5
CSMBH,Nicolas,Grébille,PV,7.5
CSMBH,Alan,Nguidjol,PV,6.5
CSMBH,Jesper,Noddesbo,RB,7.5
CSMBH,Brendan,Hanquinquant,RB,7.0
CRMHB,Cyril,Lardeur,GK,6.5
CRMHB,Thomas,Sercien-Ugolin,GK,6.0
CRMHB,Hugo,Calinaud,LW,6.5
CRMHB,Timothé,Jouannet,LW,6.0
CRMHB,Théo,Roffner,LB,6.5
CRMHB,Matthieu,Jambost,LB,6.0
CRMHB,Sylvain,Leutelier,CB,7.0
CRMHB,Antoine,Larrouture,CB,6.5
CRMHB,Quentin,Minel,RW,6.5
CRMHB,Baptiste,Cornuet,RW,6.0
CRMHB,Alexandre,Ferrand,PV,6.5
CRMHB,Kevin,Foltyn,PV,6.0
CRMHB,Nicolas,Vignoles,RB,6.5
CRMHB,Kevin,Vignoles,RB,6.0
IPH,Thomas,Oriol,GK,6.5
IPH,Martin,Bauer,GK,6.0
IPH,Antonin,Pradat,LW,6.5
IPH,Brendan,Galbernard,LW,6.0
IPH,Robin,Cantegrel,LB,6.5
IPH,Nathan,Vausselin,LB,6.0
IPH,Thibault,Massé,CB,7.0
IPH,Dylan,Roth,CB,6.5
IPH,Gaëtan,Valentin,RW,6.5
IPH,Baptiste,Foltyn,RW,6.0
IPH,Théo,Lasserre,PV,6.5
IPH,Cédric,Paty,PV,6.0
IPH,Julien,Meyer,RB,6.5
IPH,Mathieu,Fradin,RB,6.0
LIMOGES,Julien,Rebelo,GK,6.0
LIMOGES,Hugo,Joasson,GK,5.5
LIMOGES,Quentin,Diallo,LW,6.0
LIMOGES,Adrien,Descat,LW,5.5
LIMOGES,Maxime,Perrin,LB,6.0
LIMOGES,Théo,Castaignos,LB,5.5
LIMOGES,Thomas,Mrkva,CB,6.5
LIMOGES,Clément,Kieffer,CB,6.0
LIMOGES,Killian,Roselier,RW,6.0
LIMOGES,Pierre,Clement,RW,5.5
LIMOGES,Nathan,Foltyn,PV,6.0
LIMOGES,Julien,Dupé,PV,5.5
LIMOGES,Théo,Pasquier,RB,6.0
LIMOGES,Robin,Wojtyla,RB,5.5
SAHB,Jonathan,Duval,GK,6.5
SAHB,Pierre,Leclercq,GK,6.0
SAHB,Quentin,Maudet,LW,6.5
SAHB,Hugo,Martin,LW,6.0
SAHB,Baptiste,Laurent,LB,6.5
SAHB,Mathieu,Gravier,LB,6.0
SAHB,Nathan,Descat,CB,7.0
SAHB,Karim,Saoudi,CB,6.5
SAHB,Valentin,Mathis,RW,6.5
SAHB,Romain,Siffert,RW,6.0
SAHB,Thomas,Bernard,PV,6.5
SAHB,Victor,Noel,PV,6.0
SAHB,Alexis,Hanquinquant,RB,6.5
SAHB,Pierre,Turchet,RB,6.0
USCH,Matthieu,Bauer,GK,6.0
USCH,Thibault,Paulin,GK,5.5
USCH,Théo,Dupé,LW,6.0
USCH,Clement,Martin,LW,5.5
USCH,Maxime,Valentin,LB,6.0
USCH,Hugo,Faber,LB,5.5
USCH,Thomas,Klein,CB,6.5
USCH,Romain,Bernard,CB,6.0
USCH,Adrien,Moreau,RW,6.0
USCH,Baptiste,Lefort,RW,5.5
USCH,Pierre,Genty,PV,6.0
USCH,Nicolas,Pradat,PV,5.5
USCH,Maxime,Sercien,RB,6.0
USCH,Théo,Nguyen,RB,5.5
SARAN,Jonathan,Capelle,GK,6.0
SARAN,Hugo,Rebelo,GK,5.5
SARAN,Pierre,Diallo,LW,6.0
SARAN,Axel,Lardeur,LW,5.5
SARAN,Baptiste,Roffner,LB,6.0
SARAN,Mathieu,Jost,LB,5.5
SARAN,Thomas,Gautier,CB,6.5
SARAN,Clément,Vausselin,CB,6.0
SARAN,Hugo,Sevin,RW,6.0
SARAN,Killian,Briet,RW,5.5
SARAN,Nathan,Blanc,PV,6.0
SARAN,Antoine,Michel,PV,5.5
SARAN,Baptiste,Dumont,RB,6.0
SARAN,Loïc,Garnier,RB,5.5
CCMHB,Guillaume,Joly,GK,6.0
CCMHB,Thomas,Minne,GK,5.5
CCMHB,Pierre,Fontaine,LW,6.0
CCMHB,Mathis,Leconte,LW,5.5
CCMHB,Axel,Paulin,LB,6.0
CCMHB,Hugo,Collin,LB,5.5
CCMHB,Julien,Renard,CB,6.5
CCMHB,Maxime,Bauer,CB,6.0
CCMHB,Robin,Descat,RW,6.0
CCMHB,Kevin,Sevin,RW,5.5
CCMHB,Thomas,Nguyen,PV,6.0
CCMHB,Quentin,Foltyn,PV,5.5
CCMHB,Baptiste,Clement,RB,6.0
CCMHB,Nathan,Klein,RB,5.5
GNMHB,Sébastien,Dupé,GK,6.0
GNMHB,Pierre,Martin,GK,5.5
GNMHB,Hugo,Lefort,LW,6.0
GNMHB,Thomas,Calinaud,LW,5.5
GNMHB,Mathieu,Vignoles,LB,6.0
GNMHB,Clément,Roselier,LB,5.5
GNMHB,Baptiste,Oriol,CB,6.5
GNMHB,Julien,Cornuet,CB,6.0
GNMHB,Nicolas,Wojtyla,RW,6.0
GNMHB,Théo,Gombou,RW,5.5
GNMHB,Maxime,Gravier,PV,6.0
GNMHB,Robin,Minel,PV,5.5
GNMHB,Antoine,Pradat,RB,6.0
GNMHB,Hugo,Bernard,RB,5.5
